step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
265.0,32,2398.0,53.28888888888889,3.743486317127915,32,2535.0,0.14122398629268193,32,2535.0
270.0,28,2526.0,56.13333333333333,3.406111172255324,28,2673.0,0.18340602138739853,28,2673.0
275.0,28,2666.0,60.59090909090909,4.204728786255774,28,2803.0,0.16503537423241427,28,2803.0
280.0,30,2811.0,58.5625,4.9985083274076425,30,2948.0,0.18730547497668454,30,2948.0
285.0,30,2961.0,68.86046511627907,4.048685339901269,30,3098.0,0.15477772361193012,30,3098.0
290.0,28,3086.0,62.97959183673469,4.467945641027709,28,3223.0,0.2774569873298533,28,3223.0
295.0,32,3236.0,67.41666666666667,3.4475294700600045,32,3373.0,0.18927969952744383,32,3373.0
300.0,36,3410.0,68.2,2.7949025607298528,36,3547.0,0.12935899401541817,36,3547.0
305.0,36,3552.0,69.6470588235294,2.6434566991025066,36,3711.0,0.13356318971701803,36,3711.0
310.0,34,3720.0,71.53846153846153,3.7798308707680515,34,3859.0,0.16439814304385128,34,3859.0
315.0,36,3892.0,72.07407407407408,4.31235026016797,36,4029.0,0.1318027761314578,36,4029.0
320.0,36,4072.0,78.3076923076923,3.957876806781248,36,4209.0,0.17243389297734854,36,4209.0
325.0,35,4231.0,81.36538461538461,3.1853272525365472,35,4368.0,0.1832256577071365,35,4368.0
330.0,37,4413.0,84.86538461538461,2.736576933552728,37,4550.0,0.12271601659845612,37,4550.0
335.0,44,4613.0,83.87272727272727,2.3029007982786376,44,4750.0,0.09223355871275903,44,4750.0
340.0,40,4776.0,88.44444444444444,2.0554583145512133,40,4940.0,0.10871397821206459,40,4940.0
345.0,39,4964.0,88.64285714285714,3.041353188408274,39,5108.0,0.14924749149018834,39,5108.0
350.0,40,5160.0,88.96551724137932,3.6658967131612488,40,5297.0,0.11407574140510189,40,5297.0
355.0,41,5364.0,94.10526315789474,3.5622113980128227,41,5501.0,0.13293886964139892,41,5501.0
360.0,38,5528.0,106.3076923076923,2.645928700829167,38,5674.0,0.1011324791313673,38,5674.0
365.0,40,5722.0,93.80327868852459,3.361916820389569,40,5859.0,0.15590043806431791,40,5859.0
370.0,46,5939.0,100.66101694915254,2.3852133188484697,46,6076.0,0.10322844124669082,46,6076.0
375.0,45,6131.0,100.50819672131148,1.9805193442576334,45,6284.0,0.10781585797924048,45,6284.0
380.0,45,6356.0,105.93333333333334,2.8637748827934058,45,6493.0,0.11805877970782076,45,6493.0
385.0,46,6582.0,101.26153846153846,3.870508981572391,46,6719.0,0.13651057384506557,46,6719.0
390.0,47,6814.0,111.70491803278688,3.0999739198336758,47,6951.0,0.1074860331944837,47,6951.0
395.0,44,7010.0,116.83333333333333,1.920077349243268,44,7156.0,0.08812131898485645,44,7156.0
400.0,48,7244.0,114.98412698412699,2.1323898405224497,48,7381.0,0.09778943890893911,48,7381.0
405.0,52,7494.0,111.85074626865672,2.0189265970339068,52,7631.0,0.09071363755845699,52,7631.0
410.0,50,7706.0,116.75757575757575,2.1431453109867102,50,7871.0,0.09786905002006675,50,7871.0
415.0,48,7940.0,116.76470588235294,3.2590421866815324,48,8083.0,0.14384951361745585,48,8083.0
420.0,48,8180.0,123.93939393939394,3.2070153190292228,48,8317.0,0.09822254636058222,48,8317.0
425.0,50,8426.0,123.91176470588235,3.4436500304102604,50,8563.0,0.0967806995764349,50,8563.0
430.0,50,8676.0,139.93548387096774,2.5014476177654443,50,8813.0,0.09763082586494479,50,8813.0
435.0,51,8903.0,130.9264705882353,2.1471989811922185,51,9040.0,0.1290172085651334,51,9040.0
440.0,54,9167.0,138.8939393939394,2.222632545385039,54,9304.0,0.10872199250030573,54,9304.0
445.0,56,9439.0,131.09722222222223,2.398556168365022,56,9576.0,0.0986161623128255,56,9576.0
450.0,60,9734.0,143.14705882352942,1.5546156697961304,60,9871.0,0.08401089666080673,60,9871.0
455.0,62,10037.0,141.3661971830986,1.2793890976060944,62,10174.0,0.06508003146373059,62,10174.0
460.0,59,10232.0,142.11111111111111,1.5392533035382134,59,10438.0,0.08362158707937561,59,10438.0
465.0,53,10450.0,139.33333333333334,2.59753440058591,53,10629.0,0.11285154487882645,53,10629.0
470.0,54,10716.0,139.16883116883116,3.6367637858373234,54,10854.0,0.12744869394882813,54,10854.0
475.0,55,10990.0,146.53333333333333,3.6374670506041307,55,11127.0,0.10557108859676109,55,11127.0
480.0,55,11265.0,160.92857142857142,2.5152568920024976,55,11402.0,0.06672703712639994,55,11402.0
485.0,52,11484.0,166.43478260869566,2.134181626784134,52,11637.0,0.10420137573377472,52,11637.0
490.0,55,11752.0,175.40298507462686,1.9582343406796234,55,11889.0,0.08061298069214062,55,11889.0
495.0,56,12031.0,169.45070422535213,2.5482332402292456,56,12168.0,0.10423199909758558,56,12168.0
500.0,52,12264.0,175.2,2.1859947030653433,52,12421.0,0.10225566868771889,52,12421.0
505.0,52,12524.0,178.9142857142857,2.487470198677537,52,12661.0,0.09564481935223566,52,12661.0
510.0,54,12792.0,175.23287671232876,3.3467694747156758,54,12929.0,0.117283198481771,54,12929.0
515.0,56,13065.0,186.64285714285714,2.3578068452440966,56,13202.0,0.0771250186323435,56,13202.0
520.0,58,13349.0,190.7,2.073809104924686,58,13486.0,0.0835419855333774,58,13486.0
525.0,58,13639.0,200.5735294117647,1.8647406810241272,58,13776.0,0.07147159410666919,58,13776.0
530.0,60,13931.0,196.2112676056338,1.9346101487974041,60,14068.0,0.09173716841007465,60,14068.0
535.0,60,14231.0,203.3,1.8397445068705671,60,14368.0,0.0838772026635093,60,14368.0
540.0,54,14397.0,199.95833333333334,1.6570492940080972,54,14594.0,0.07213793054008638,54,14594.0
545.0,57,14678.0,203.86111111111111,2.2639410748351594,57,14815.0,0.09003454157657703,57,14815.0
550.0,60,14971.0,199.61333333333334,2.314992781560458,60,15108.0,0.08116450153538604,60,15108.0
555.0,56,15217.0,208.45205479452054,1.8589330224184226,56,15381.0,0.08326334928433547,56,15381.0
560.0,56,15489.0,212.17808219178082,2.230914483114319,56,15634.0,0.10347919648491237,56,15634.0
565.0,57,15771.0,210.28,2.907331996071295,57,15908.0,0.09229411298753662,57,15908.0
570.0,55,16018.0,216.45945945945945,2.616030791704153,55,16162.0,0.11108466283929977,55,16162.0
575.0,58,16300.0,236.231884057971,1.9266120422465203,58,16437.0,0.08038547601760418,58,16437.0
580.0,62,16598.0,218.39473684210526,2.286847322092376,62,16735.0,0.10390598840787536,62,16735.0
585.0,56,16840.0,230.68493150684932,1.7846909519863812,56,17011.0,0.0877806483073153,56,17011.0
590.0,57,17107.0,225.0921052631579,2.2438006530749903,57,17257.0,0.10612559369273625,57,17257.0
595.0,58,17395.0,228.8815789473684,3.0369041698666934,58,17532.0,0.08699672722791643,58,17532.0
600.0,56,17666.0,232.44736842105263,2.6164345202890025,56,17803.0,0.0933390554514396,56,17803.0
605.0,59,17957.0,245.986301369863,2.242429651612752,59,18094.0,0.08817650427405414,59,18094.0
610.0,60,18257.0,246.71621621621622,1.8227718134447888,60,18394.0,0.08756759912233374,60,18394.0
615.0,59,18513.0,257.125,1.304365616063449,59,18676.0,0.0857345079097959,59,18676.0
620.0,58,18796.0,247.31578947368422,2.3797745335923226,58,18939.0,0.11462535654965379,58,18939.0
625.0,58,19086.0,244.69230769230768,2.9823350365906887,58,19223.0,0.09068016066504926,58,19223.0
630.0,54,16596.0,212.76923076923077,2.927419330786294,54,18513.0,0.11785541062916488,54,18513.0
635.0,47,12548.0,174.27777777777777,2.7150722513680674,47,16844.0,0.10919806434874263,47,16844.0
640.0,42,9903.0,130.30263157894737,3.748024601468574,42,14388.0,0.14963182431160926,42,14388.0
645.0,34,7718.0,108.70422535211267,3.403420298154513,34,14556.0,0.16385657638483414,34,14556.0
650.0,34,6478.0,88.73972602739725,3.9876098352477087,34,14695.0,0.20641030810526306,34,14695.0
655.0,40,6664.0,87.6842105263158,4.016357019836839,40,14877.0,0.17050128330182462,40,14877.0
660.0,51,6895.0,88.3974358974359,2.686984080724253,51,15108.0,0.10653757884934276,51,15108.0
