step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,11.859554544192735,0,0.0,0.9021085810112556,0,0.0
10.0,0,0.0,0.0,11.915686974899003,0,0.0,0.9213740873170785,0,0.0
15.0,4,6.0,0.3333333333333333,7.441830012318582,4,6.0,0.45776552221637257,4,6.0
20.0,8,44.0,2.4444444444444446,7.011647885753511,8,44.0,0.3797731803311792,8,44.0
25.0,8,84.0,3.652173913043478,7.246672941501677,8,84.0,0.35640351394687614,8,84.0
30.0,6,73.0,3.4761904761904763,7.850557245695217,6,97.0,0.45449378205200786,6,97.0
35.0,8,105.0,5.25,6.070132064429915,8,105.0,0.3317107739273135,8,105.0
40.0,11,156.0,6.24,6.699553368753211,11,156.0,0.4181626236653008,11,156.0
45.0,8,177.0,6.8076923076923075,5.119046893690837,8,190.0,0.3747749857672031,8,190.0
50.0,10,222.0,7.928571428571429,5.930340059243532,10,222.0,0.32040088096785874,10,222.0
55.0,14,286.0,8.9375,6.891633444797652,14,286.0,0.3189732227869787,14,286.0
60.0,16,358.0,12.785714285714286,5.401747326293908,16,358.0,0.18373566160969043,16,358.0
65.0,10,202.0,6.733333333333333,5.768283800127875,10,330.0,0.3467546912225066,10,330.0
70.0,10,196.0,7.538461538461538,6.495179853069976,10,245.0,0.3530424892430698,10,245.0
75.0,12,250.0,6.578947368421052,7.776076708056026,12,250.0,0.43085791593876327,12,250.0
80.0,8,252.0,7.411764705882353,7.673387053357476,8,283.0,0.4833862809010801,8,283.0
85.0,7,276.0,7.45945945945946,6.374561438591152,7,283.0,0.33359818700929306,7,283.0
90.0,14,341.0,10.029411764705882,7.554809982745466,14,341.0,0.280991888357229,14,341.0
95.0,14,411.0,12.84375,6.861448964640836,14,411.0,0.28835784155465566,14,411.0
100.0,12,451.0,17.346153846153847,5.351827860955309,12,453.0,0.2928384300552662,12,453.0
105.0,13,516.0,18.428571428571427,6.082783621367723,13,516.0,0.34638491570924396,13,516.0
110.0,17,588.0,17.818181818181817,6.072682967196575,17,588.0,0.3409953661296636,17,588.0
