step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.929982241069444,0,0.0,0.9080240483890719,0,0.0
10.0,0,0.0,0.0,11.713404556142178,0,0.0,0.8200204309412655,0,0.0
15.0,6,13.0,0.7222222222222222,7.588247384049702,6,13.0,0.43290557358795256,6,13.0
20.0,8,51.0,3.0,6.841898522067425,8,51.0,0.40747875558257596,8,51.0
25.0,8,91.0,4.333333333333333,6.61204996208142,8,91.0,0.34293680113996283,8,91.0
30.0,6,97.0,4.85,7.348582842107946,6,103.0,0.4281188447326295,6,103.0
35.0,7,128.0,6.095238095238095,7.142464410861696,7,128.0,0.373415739845779,7,128.0
40.0,10,172.0,6.615384615384615,7.981561843674271,10,172.0,0.4617181070283741,10,172.0
45.0,6,187.0,7.1923076923076925,6.837377561115229,6,198.0,0.45568866324984697,6,198.0
50.0,10,222.0,8.538461538461538,6.323341928755259,10,222.0,0.36159217147969924,10,222.0
55.0,12,281.0,9.366666666666667,7.478484036520176,12,281.0,0.3636552458529043,12,281.0
60.0,12,341.0,13.115384615384615,6.428223306495525,12,341.0,0.27923080188037996,12,341.0
65.0,10,369.0,14.192307692307692,4.974747735083805,10,372.0,0.30915100038646587,10,372.0
70.0,14,436.0,18.166666666666668,5.427353341809588,14,436.0,0.27807341141083736,14,436.0
75.0,14,506.0,14.055555555555555,6.355120970807199,14,506.0,0.362427433511889,14,506.0
80.0,12,526.0,15.93939393939394,6.158772730019824,12,556.0,0.4070484668338139,12,556.0
85.0,11,570.0,15.405405405405405,5.844409209961434,11,577.0,0.30343814413259323,11,577.0
90.0,18,657.0,18.25,6.760146143650935,18,657.0,0.2281530119333175,18,657.0
95.0,18,747.0,20.75,5.996882798678145,18,747.0,0.19412131971905106,18,747.0
100.0,17,811.0,26.161290322580644,4.93241163497416,17,814.0,0.23921828867871034,17,814.0
105.0,17,896.0,27.151515151515152,5.695822492473207,17,896.0,0.2858667674794087,17,896.0
110.0,20,991.0,26.783783783783782,5.733042819920463,20,991.0,0.2954141953300151,20,991.0
115.0,16,1049.0,29.97142857142857,4.5014030803875995,16,1066.0,0.2612827529482311,16,1066.0
120.0,19,1135.0,32.42857142857143,4.446113369277613,19,1135.0,0.18151999526721566,19,1135.0
125.0,22,1241.0,31.82051282051282,5.870009136587362,22,1241.0,0.2295774301063184,22,1241.0
130.0,22,1351.0,37.52777777777778,5.1941807391501875,22,1351.0,0.19943525425148662,22,1351.0
135.0,17,805.0,23.0,4.068544773425415,17,1211.0,0.2385150411623484,17,1211.0
140.0,14,458.0,12.378378378378379,5.451899340996818,14,875.0,0.2633414039220328,14,875.0
145.0,12,477.0,11.925,7.251330144495117,12,663.0,0.3783908114491337,12,663.0
150.0,14,504.0,11.720930232558139,6.61370256563081,14,609.0,0.3656138955956702,14,609.0
155.0,14,568.0,14.947368421052632,6.099865728274101,14,652.0,0.25494328058177135,14,652.0
160.0,22,666.0,16.65,5.794008105177943,22,749.0,0.20595403851316313,22,749.0
165.0,22,776.0,22.17142857142857,4.684285589335963,22,859.0,0.1928720474841805,22,859.0
