step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,12.10573996146006,0,0.0,0.9143602797637452,0,0.0
10.0,0,0.0,0.0,12.072501541607094,0,0.0,0.9106595284484441,0,0.0
15.0,2,2.0,0.1111111111111111,7.504012001590425,2,2.0,0.44545438005130905,2,2.0
20.0,8,37.0,2.0555555555555554,7.005788506454175,8,37.0,0.39309713800181684,8,37.0
25.0,9,78.0,3.7142857142857144,6.406114433735646,9,78.0,0.4106274111475712,9,78.0
30.0,10,127.0,6.35,6.193256524271632,10,127.0,0.33953863634116815,10,127.0
35.0,10,177.0,7.695652173913044,6.667532148002973,10,177.0,0.32374447900557884,10,177.0
40.0,6,146.0,5.407407407407407,8.113224148614618,6,176.0,0.499884382959537,6,176.0
45.0,6,176.0,5.866666666666666,7.859631199247038,6,176.0,0.4280420776741085,6,176.0
50.0,12,224.0,8.0,6.1165424030570845,12,224.0,0.28083812368485106,12,224.0
55.0,10,259.0,8.633333333333333,5.480838477200328,10,270.0,0.2893210497143562,10,270.0
60.0,10,309.0,12.875,6.279913600985594,10,309.0,0.33300700423557256,10,309.0
65.0,12,364.0,12.133333333333333,7.782398371929414,12,364.0,0.34587614203826755,12,364.0
70.0,12,424.0,16.307692307692307,6.410524951736866,12,424.0,0.24582444056198519,12,424.0
75.0,14,489.0,14.818181818181818,7.31306758226379,14,489.0,0.4515511875355101,14,489.0
80.0,14,559.0,18.633333333333333,6.960095704631606,14,559.0,0.4195804602448907,14,559.0
85.0,17,632.0,18.58823529411765,4.690302252500312,17,632.0,0.2568519692680063,17,632.0
90.0,22,739.0,22.393939393939394,4.367294571955526,22,739.0,0.20350980391160814,22,739.0
95.0,16,437.0,12.852941176470589,4.038362545079886,16,682.0,0.24768524147620466,16,682.0
100.0,15,371.0,10.911764705882353,5.207164707763929,15,508.0,0.29284958617223855,15,508.0
105.0,16,451.0,11.868421052631579,6.172229651527519,16,451.0,0.24326738009123763,16,451.0
110.0,15,492.0,12.615384615384615,5.71177601088624,15,516.0,0.3182542795488033,15,516.0
115.0,14,559.0,15.527777777777779,6.720603054116402,14,562.0,0.3953543208261981,14,562.0
120.0,15,630.0,17.5,6.394354030352678,15,630.0,0.25249175078596015,15,630.0
125.0,19,716.0,20.457142857142856,5.354665665286683,19,716.0,0.2280309990894082,19,716.0
130.0,20,816.0,24.727272727272727,4.124607426134953,20,816.0,0.15410894519084625,20,816.0
135.0,22,926.0,27.235294117647058,4.498261133829365,22,926.0,0.24896097218173377,22,926.0
140.0,22,1036.0,31.393939393939394,3.454419400995897,22,1036.0,0.17246379383436117,22,1036.0
145.0,18,724.0,19.05263157894737,5.363555833400029,18,983.0,0.3084511346106972,18,983.0
150.0,10,508.0,11.813953488372093,6.813148703330886,10,789.0,0.38944109874760746,10,789.0
155.0,12,568.0,14.2,6.823952442411615,12,620.0,0.32124350732688106,12,620.0
160.0,17,609.0,14.5,4.876222708580706,17,678.0,0.21063695975389476,17,678.0
165.0,20,702.0,18.972972972972972,5.107027941928952,20,754.0,0.1764734237847008,20,754.0
